                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2324,                 0.9535,                 1.1892,                0.83917,                0.68574,                0.80899,                0.46297,                 1.5156,                  1.753,                 1.6324,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.2989,                0.97433,                 1.2284,                0.83849,                0.68053,                0.80367,                0.47382,                 1.5285,                 1.7145,                  1.642,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.2099,                0.94754,                 1.2073,                0.82475,                0.69091,                 0.8019,                0.44948,                 1.5848,                 1.6604,                 1.6823,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.1768,                0.92122,                 1.1511,                0.84397,                0.75269,                0.80732,                  0.463,                 1.5646,                 1.6028,                 1.6774,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.1798,                0.89774,                  1.164,                0.82566,                0.75287,                0.80412,                0.45407,                 1.5864,                 1.6319,                 1.7143,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.1934,                0.87318,                 1.1512,                0.84644,                 0.6773,                0.77466,                0.42539,                 1.6125,                 1.7961,                 1.7163,             0.00070404,             0.00070404,             0.00070404
                     39,                  1.198,                0.89883,                 1.1524,                0.76648,                0.66166,                0.73775,                0.38914,                 1.6137,                 1.8573,                 1.7423,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.1533,                0.86397,                 1.1482,                0.77456,                0.68232,                 0.7759,                0.43145,                 1.5648,                 1.8725,                 1.7014,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2083,                0.92019,                 1.2046,                 0.8194,                0.70458,                0.81584,                0.44049,                  1.562,                 1.7999,                 1.7072,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.1778,                0.87788,                 1.1699,                 0.8344,                0.71906,                0.81569,                0.43187,                 1.5745,                 1.7534,                 1.7188,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.1523,                0.86451,                 1.1575,                0.79007,                0.73653,                0.81695,                0.45127,                 1.5419,                 1.7186,                 1.6611,             0.00064905,             0.00064905,             0.00064905
